fid,id,N37W123,X,Y
"177","1",,6136973.2209000001,2134644.4723999999
"178","1",,6137973.2209000001,2134644.4723999999
"179","1",,6138973.2209000001,2134644.4723999999
"180","1",,6139973.2209000001,2134644.4723999999
"181","1",,6140973.2209000001,2134644.4723999999
"182","1",,6141973.2209000001,2134644.4723999999
"183","1",,6142973.2209000001,2134644.4723999999
"184","1",,6143973.2209000001,2134644.4723999999
"185","1",,6144973.2209000001,2134644.4723999999
"186","1",,6145973.2209000001,2134644.4723999999
"187","1",,6146973.2209000001,2134644.4723999999
"188","1",,6147973.2209000001,2134644.4723999999
"189","1",,6148973.2209000001,2134644.4723999999
"190","3",,5960973.2209000001,2128082.7925999998
"191","3",,5961973.2209000001,2128082.7925999998
"192","3",,5962973.2209000001,2128082.7925999998
"193","3",,5963973.2209000001,2128082.7925999998
"194","3",,5964973.2209000001,2128082.7925999998
"195","3",,5965973.2209000001,2128082.7925999998
"196","3",,5966973.2209000001,2128082.7925999998
"197","3",,5967973.2209000001,2128082.7925999998
"198","3",,5968973.2209000001,2128082.7925999998
"199","3",,5969973.2209000001,2128082.7925999998
"200","3",,5970973.2209000001,2128082.7925999998
"201","3",,5971973.2209000001,2128082.7925999998
"202","3",,5972973.2209000001,2128082.7925999998
"203","3",,5973973.2209000001,2128082.7925999998
"204","3",,5974973.2209000001,2128082.7925999998
"205","3",,5975973.2209000001,2128082.7925999998
"206","3",,5976973.2209000001,2128082.7925999998
"207","3",,5977973.2209000001,2128082.7925999998
"208","3",,5978973.2209000001,2128082.7925999998
"209","3",,5979973.2209000001,2128082.7925999998
"210","3",,5980973.2209000001,2128082.7925999998
"211","3",,5981973.2209000001,2128082.7925999998
"212","3",,5982973.2209000001,2128082.7925999998
"213","3",,5983973.2209000001,2128082.7925999998
"214","3",,5984973.2209000001,2128082.7925999998
"215","3",,5985973.2209000001,2128082.7925999998
"216","3",,5986973.2209000001,2128082.7925999998
"217","3",,5987973.2209000001,2128082.7925999998
"218","3",,5988973.2209000001,2128082.7925999998
"219","3",,5989973.2209000001,2128082.7925999998
"220","3",,5990973.2209000001,2128082.7925999998
"221","3",,5991973.2209000001,2128082.7925999998
"222","3",,5992973.2209000001,2128082.7925999998
"223","3",,5993973.2209000001,2128082.7925999998
"224","3",,5994973.2209000001,2128082.7925999998
"225","3",,5995973.2209000001,2128082.7925999998
"226","3",,5996973.2209000001,2128082.7925999998
"227","3",,5997973.2209000001,2128082.7925999998
"228","3",,5998973.2209000001,2128082.7925999998
"229","3",,5999973.2209000001,2128082.7925999998
"230","3",,6000973.2209000001,2128082.7925999998
"231","3",,6001973.2209000001,2128082.7925999998
"232","3",,6002973.2209000001,2128082.7925999998
"233","3",,6003973.2209000001,2128082.7925999998
"234","3",,6004973.2209000001,2128082.7925999998
"235","3",,6005973.2209000001,2128082.7925999998
"236","3",,6006973.2209000001,2128082.7925999998
"237","3",,6007973.2209000001,2128082.7925999998
"238","3",,6008973.2209000001,2128082.7925999998
"239","3",,6009973.2209000001,2128082.7925999998
"240","3",,6010973.2209000001,2128082.7925999998
"241","3",,6011973.2209000001,2128082.7925999998
"242","3",,6012973.2209000001,2128082.7925999998
"243","3",,6013973.2209000001,2128082.7925999998
"244","3",,6014973.2209000001,2128082.7925999998
"245","3",,6015973.2209000001,2128082.7925999998
"246","3",,6016973.2209000001,2128082.7925999998
"247","3",,6017973.2209000001,2128082.7925999998
"248","3",,6018973.2209000001,2128082.7925999998
"249","3",,6019973.2209000001,2128082.7925999998
"250","3",,6020973.2209000001,2128082.7925999998
"251","3",,6021973.2209000001,2128082.7925999998
"252","3",,6022973.2209000001,2128082.7925999998
"253","3",,6023973.2209000001,2128082.7925999998
"254","3",,6024973.2209000001,2128082.7925999998
"255","3",,6025973.2209000001,2128082.7925999998
"256","3",,6026973.2209000001,2128082.7925999998
"257","3",,6027973.2209000001,2128082.7925999998
"258","3",,6028973.2209000001,2128082.7925999998
"259","3",,6029973.2209000001,2128082.7925999998
"260","3",,6030973.2209000001,2128082.7925999998
"261","3",,6031973.2209000001,2128082.7925999998
"262","3",,6032973.2209000001,2128082.7925999998
"263","3",,6033973.2209000001,2128082.7925999998
"264","3",,6034973.2209000001,2128082.7925999998
"265","3",,6035973.2209000001,2128082.7925999998
"266","3",,6036973.2209000001,2128082.7925999998
"267","3",,6037973.2209000001,2128082.7925999998
"268","3",,6038973.2209000001,2128082.7925999998
